date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
1960-01-24,Australia,China,2,1,CONCACAF Gold Cup,New York,Cameroon,False
1960-01-27,Greece,Chile,2,0,Friendly,Montevideo,England,False
1960-01-29,New Zealand,South Africa,1,3,Friendly,Berlin,Italy,False
1960-02-02,Australia,Scotland,3,2,UEFA European Championship,Tokyo,Netherlands,True
1960-02-04,Scotland,Saudi Arabia,4,2,UEFA Euro qualification,Berlin,Spain,False
1960-02-09,Saudi Arabia,Portugal,2,3,Friendly,Rome,Netherlands,False
1960-02-11,Paraguay,Romania,1,1,AFC Asian Cup,Tokyo,Uruguay,False
1960-02-20,New Zealand,Colombia,4,2,Africa Cup of Nations,London,United States,False
1960-02-21,England,Hungary,1,2,CONCACAF Gold Cup,Los Angeles,Portugal,True
1960-02-21,Scotland,Wales,0,1,Friendly,Mexico City,Spain,True
1960-02-29,Portugal,Brazil,2,0,Friendly,Amsterdam,Uruguay,False
1960-03-05,Norway,France,1,1,Friendly,Los Angeles,Australia,False
1960-03-10,France,Norway,2,2,AFC Asian Cup,Lagos,Brazil,False
1960-03-15,Argentina,Chile,1,0,UEFA European Championship,Lisbon,Germany,True
1960-03-20,India,Czech Republic,1,0,CONCACAF Gold Cup,Paris,Uruguay,True
1960-03-21,Australia,Ghana,1,1,UEFA Euro qualification,Seoul,South Korea,True
1960-03-22,Nigeria,Netherlands,3,3,AFC Asian Cup,Sydney,Cameroon,False
1960-04-01,Brazil,Romania,1,2,Friendly,Mexico City,Japan,False
1960-04-05,Norway,Scotland,1,1,FIFA World Cup qualification,Amsterdam,England,False
1960-04-06,Egypt,Scotland,2,1,Africa Cup of Nations,Seoul,Portugal,False
1960-04-17,Norway,United States,1,0,Friendly,Rome,Belgium,True
1960-04-18,South Korea,Brazil,0,1,CONCACAF Gold Cup,Seoul,Argentina,False
1960-04-21,Cameroon,Colombia,1,2,Friendly,Montevideo,South Korea,False
1960-05-06,Portugal,Morocco,0,1,CONCACAF Gold Cup,Seoul,Croatia,False
1960-05-17,South Africa,Chile,1,0,FIFA World Cup qualification,Buenos Aires,France,False
1960-05-19,Norway,Sweden,0,1,UEFA Euro qualification,Montevideo,Italy,False
1960-05-19,Norway,Morocco,4,1,FIFA World Cup qualification,Los Angeles,Germany,False
1960-06-03,Colombia,Italy,2,1,UEFA European Championship,Amsterdam,Netherlands,False
